Entry	yourlist:M20170210A7434721E10EE6586998A056CCD0537E71EBC78	Involvement in disease	Cross-reference (Orphanet)
Q9UF12	PRODH2		
Q9HC23	PROK2	DISEASE: Hypogonadotropic hypogonadism 4 with or without anosmia (HH4) [MIM:610628]: A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH). {ECO:0000269|PubMed:17054399, ECO:0000269|PubMed:18559922, ECO:0000269|PubMed:23643382, ECO:0000269|PubMed:25077900}. Note=The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. The genetics of hypogonadotropic hypogonadism involves various modes of transmission. Oligogenic inheritance has been reported in some patients carrying mutations in PROK2 as well as in other HH-associated genes including PROKR2 (PubMed:23643382). {ECO:0000269|PubMed:23643382}.	478;432;
Q8TCW9	PROKR1		
Q8NFJ6	PROKR2	DISEASE: Hypogonadotropic hypogonadism 3 with or without anosmia (HH3) [MIM:244200]: A disorder characterized by absent or incomplete sexual maturation by the age of 18 years, in conjunction with low levels of circulating gonadotropins and testosterone and no other abnormalities of the hypothalamic-pituitary axis. In some cases, it is associated with non-reproductive phenotypes, such as anosmia, cleft palate, and sensorineural hearing loss. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin-releasing hormone-synthesizing neurons. In the presence of anosmia, idiopathic hypogonadotropic hypogonadism is referred to as Kallmann syndrome, whereas in the presence of a normal sense of smell, it has been termed normosmic idiopathic hypogonadotropic hypogonadism (nIHH). {ECO:0000269|PubMed:17054399, ECO:0000269|PubMed:18559922, ECO:0000269|PubMed:18826963, ECO:0000269|PubMed:22927827, ECO:0000269|PubMed:23643382, ECO:0000269|PubMed:25077900}. Note=The disease is caused by mutations affecting distinct genetic loci, including the gene represented in this entry. The genetics of hypogonadotropic hypogonadism involves various modes of transmission. Oligogenic inheritance has been reported in some patients carrying mutations in PROKR2 as well as in other HH-associated genes including KAL1, SEMA3A, PROK2, GNRH1 and FGFR1 (PubMed:17054399, PubMed:22927827, PubMed:23643382). {ECO:0000269|PubMed:17054399, ECO:0000269|PubMed:22927827, ECO:0000269|PubMed:23643382}.	478;432;3157;
O43490	PROM1	DISEASE: Retinitis pigmentosa 41 (RP41) [MIM:612095]: A retinal dystrophy belonging to the group of pigmentary retinopathies. Retinitis pigmentosa is characterized by retinal pigment deposits visible on fundus examination and primary loss of rod photoreceptor cells followed by secondary loss of cone photoreceptors. Patients typically have night vision blindness and loss of midperipheral visual field. As their condition progresses, they lose their far peripheral visual field and eventually central vision as well. {ECO:0000269|PubMed:10587575, ECO:0000269|PubMed:17605048}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Cone-rod dystrophy 12 (CORD12) [MIM:612657]: An inherited retinal dystrophy characterized by retinal pigment deposits visible on fundus examination, predominantly in the macular region, and initial loss of cone photoreceptors followed by rod degeneration. This leads to decreased visual acuity and sensitivity in the central visual field, followed by loss of peripheral vision. Severe loss of vision occurs earlier than in retinitis pigmentosa. {ECO:0000269|PubMed:18654668}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Stargardt disease 4 (STGD4) [MIM:603786]: A common hereditary macular degeneration. It is characterized by decreased central vision, atrophy of the macula and underlying retinal pigment epithelium, and frequent presence of prominent flecks in the posterior pole of the retina. {ECO:0000269|PubMed:18654668}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Retinal macular dystrophy 2 (MCDR2) [MIM:608051]: A bull's-eye macular dystrophy characterized by bilateral annular atrophy of retinal pigment epithelium at the macula. {ECO:0000269|PubMed:18654668}. Note=The disease is caused by mutations affecting the gene represented in this entry.	1872;319640;791;827;
Q8N271	PROM2		
O75360	PROP1	DISEASE: Pituitary hormone deficiency, combined, 2 (CPHD2) [MIM:262600]: Combined pituitary hormone deficiency is defined as the impaired production of growth hormone and one or more of the other five anterior pituitary hormones. CPHD2 is characterized by pleiotropic deficiencies of growth hormone, thyroid-stimulating hormone, follicle-stimulating hormone, luteinizing hormone, prolactin and adrenocorticotropic hormone. {ECO:0000269|PubMed:10946881, ECO:0000269|PubMed:11549703, ECO:0000269|PubMed:12519826, ECO:0000269|PubMed:15531542, ECO:0000269|PubMed:19128366, ECO:0000269|PubMed:9462743, ECO:0000269|PubMed:9768691}. Note=The disease is caused by mutations affecting the gene represented in this entry.	95494;226307;90695;
P07225	PROS1	DISEASE: Thrombophilia due to protein S deficiency, autosomal dominant (THPH5) [MIM:612336]: A hemostatic disorder characterized by impaired regulation of blood coagulation and a tendency to recurrent venous thrombosis. Based on the plasma levels of total and free PROS1 as well as the serine protease-activated protein C cofactor activity, three types of THPH5 have been described: type I, characterized by reduced total and free PROS1 levels together with reduced anticoagulant activity; type III, in which only free PROS1 antigen and PROS1 activity levels are reduced; and the rare type II which is characterized by normal concentrations of both total and free PROS1 antigen, but low cofactor activity. {ECO:0000269|PubMed:10447256, ECO:0000269|PubMed:10613647, ECO:0000269|PubMed:10706858, ECO:0000269|PubMed:10790208, ECO:0000269|PubMed:11372770, ECO:0000269|PubMed:11776305, ECO:0000269|PubMed:11858485, ECO:0000269|PubMed:11927129, ECO:0000269|PubMed:12351389, ECO:0000269|PubMed:12632031, ECO:0000269|PubMed:15238143, ECO:0000269|PubMed:15712227, ECO:0000269|PubMed:18322254, ECO:0000269|PubMed:7482398, ECO:0000269|PubMed:7545463, ECO:0000269|PubMed:7579449, ECO:0000269|PubMed:7803790, ECO:0000269|PubMed:8298131, ECO:0000269|PubMed:8639833, ECO:0000269|PubMed:8701404, ECO:0000269|PubMed:8765219, ECO:0000269|PubMed:8781426, ECO:0000269|PubMed:8943854, ECO:0000269|PubMed:8977443, ECO:0000269|PubMed:9031443, ECO:0000269|PubMed:9241758, ECO:0000269|Ref.15}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Thrombophilia due to protein S deficiency, autosomal recessive (THPH6) [MIM:614514]: A very rare and severe hematologic disorder resulting in thrombosis and secondary hemorrhage usually beginning in early infancy. Some affected individuals develop neonatal purpura fulminans, multifocal thrombosis, or intracranial hemorrhage. {ECO:0000269|PubMed:20484936}. Note=The disease is caused by mutations affecting the gene represented in this entry.	743;
O94903	PROSC		
Q86WR7	PROSER2		
Q92786	PROX1		
Q3B8N5	PROX2		
P22891	PROZ		329217;
Q99633	PRPF18		
Q9UMS4	PRPF19		
O43395	PRPF3	DISEASE: Retinitis pigmentosa 18 (RP18) [MIM:601414]: A retinal dystrophy belonging to the group of pigmentary retinopathies. Retinitis pigmentosa is characterized by retinal pigment deposits visible on fundus examination and primary loss of rod photoreceptor cells followed by secondary loss of cone photoreceptors. Patients typically have night vision blindness and loss of midperipheral visual field. As their condition progresses, they lose their far peripheral visual field and eventually central vision as well. {ECO:0000269|PubMed:11773002, ECO:0000269|PubMed:12714658}. Note=The disease is caused by mutations affecting the gene represented in this entry.	791;
Q8WWY3	PRPF31	DISEASE: Retinitis pigmentosa 11 (RP11) [MIM:600138]: A retinal dystrophy belonging to the group of pigmentary retinopathies. Retinitis pigmentosa is characterized by retinal pigment deposits visible on fundus examination and primary loss of rod photoreceptor cells followed by secondary loss of cone photoreceptors. Patients typically have night vision blindness and loss of midperipheral visual field. As their condition progresses, they lose their far peripheral visual field and eventually central vision as well. {ECO:0000269|PubMed:11545739, ECO:0000269|PubMed:12923864, ECO:0000269|PubMed:8808602}. Note=The disease is caused by mutations affecting the gene represented in this entry.	791;
Q8NAV1	PRPF38A		
O43172	PRPF4	DISEASE: Retinitis pigmentosa 70 (RP70) [MIM:615922]: A retinal dystrophy belonging to the group of pigmentary retinopathies. Retinitis pigmentosa is characterized by retinal pigment deposits visible on fundus examination and primary loss of rod photoreceptor cells followed by secondary loss of cone photoreceptors. Patients typically have night vision blindness and loss of midperipheral visual field. As their condition progresses, they lose their far peripheral visual field and eventually central vision as well. {ECO:0000269|PubMed:24419317, ECO:0000269|PubMed:25383878}. Note=The disease is caused by mutations affecting the gene represented in this entry.	791;
O75400	PRPF40A		
Q6NWY9	PRPF40B		
Q13523	PRPF4B		
O94906	PRPF6	DISEASE: Retinitis pigmentosa 60 (RP60) [MIM:613983]: A retinal dystrophy belonging to the group of pigmentary retinopathies. Retinitis pigmentosa is characterized by retinal pigment deposits visible on fundus examination and primary loss of rod photoreceptor cells followed by secondary loss of cone photoreceptors. Patients typically have night vision blindness and loss of midperipheral visual field. As their condition progresses, they lose their far peripheral visual field and eventually central vision as well. {ECO:0000269|PubMed:21549338}. Note=The disease may be caused by mutations affecting the gene represented in this entry. Cells from RP60 patients show intron retention for pre-mRNA bearing specific splicing signals.	791;
Q6P2Q9	PRPF8	DISEASE: Retinitis pigmentosa 13 (RP13) [MIM:600059]: A retinal dystrophy belonging to the group of pigmentary retinopathies. Retinitis pigmentosa is characterized by retinal pigment deposits visible on fundus examination and primary loss of rod photoreceptor cells followed by secondary loss of cone photoreceptors. Patients typically have night vision blindness and loss of midperipheral visual field. As their condition progresses, they lose their far peripheral visual field and eventually central vision as well. {ECO:0000269|PubMed:11468273, ECO:0000269|PubMed:11910553, ECO:0000269|PubMed:12714658, ECO:0000269|Ref.35}. Note=The disease is caused by mutations affecting the gene represented in this entry.	791;
P41219	PRPH		803;
P23942	PRPH,PRPH2	DISEASE: Retinitis pigmentosa 7 (RP7) [MIM:608133]: A retinal dystrophy belonging to the group of pigmentary retinopathies. Retinitis pigmentosa is characterized by retinal pigment deposits visible on fundus examination and primary loss of rod photoreceptor cells followed by secondary loss of cone photoreceptors. Patients typically have night vision blindness and loss of midperipheral visual field. As their condition progresses, they lose their far peripheral visual field and eventually central vision as well. {ECO:0000269|PubMed:10627133, ECO:0000269|PubMed:11485765, ECO:0000269|PubMed:1427912, ECO:0000269|PubMed:16799052, ECO:0000269|PubMed:1684223, ECO:0000269|PubMed:1749427, ECO:0000269|PubMed:19038374, ECO:0000269|PubMed:22334370, ECO:0000269|PubMed:7862413, ECO:0000269|PubMed:8020945}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Retinitis punctata albescens (RPA) [MIM:136880]: A form of fleck retina disease characterized by aggregation of white flecks posteriorly in the retina, causing night blindness and delayed dark adaptation. It differs from fundus albipunctatus in being progressive and evolving to generalized atrophy of the retina. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Macular dystrophy, vitelliform, 3 (VMD3) [MIM:608161]: A form of vitelliform macular dystrophy, a retinal disease characterized by yellow, lipofuscin-containing deposits, usually localized at the center of the macula. Patients usually become symptomatic in the fourth or fifth decade of life with a protracted disease of decreased visual acuity. {ECO:0000269|PubMed:15370544, ECO:0000269|PubMed:17653047, ECO:0000269|PubMed:20213611, ECO:0000269|PubMed:9338584}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Macular dystrophy, patterned, 1 (MDPT1) [MIM:169150]: A form of retinal patterned dystrophy, a heterogeneous group of macular disorders that includes reticular (fishnet-like) dystrophy, macroreticular (spider-shaped) dystrophy and butterfly-shaped pigment dystrophy. {ECO:0000269|PubMed:16024869, ECO:0000269|PubMed:8485574, ECO:0000269|PubMed:9443872}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Choroidal dystrophy, central areolar 2 (CACD2) [MIM:613105]: A disease of the macula leading to a well-demarcated circumscribed area of atrophy of the pigment epithelium and choriocapillaris. {ECO:0000269|PubMed:16832026, ECO:0000269|PubMed:19038374, ECO:0000269|PubMed:20213611}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Note=Defects in PRPH2 are found in different retinal diseases including cone-rod dystrophy, retinitis pigmentosa, macular degeneration. The mutations underlying autosomal dominant retinitis pigmentosa and severe macular degeneration are largely missense or small in-frame deletions in a large intradiscal loop between the third and fourth transmembrane domains. In contrast, those associated with the milder pattern phenotypes or with digenic RP are scattered more evenly through the gene and are often nonsense mutations. This observation correlates with the hypothesis that the large loop is an important site of interaction between PRPH2 molecules and other protein components in the disk.	99000;99001;75377;1872;227796;791;52427;
P60891	PRPS1	DISEASE: Note=Phosphoribosyl pyrophosphate synthetase I deficiency is a rare condition caused by mutations in PRPS1 that lead to variable disease phenotypes including optic atrophy, retinitis pigmentosa, ataxia, peripheral neuropathy and hearing loss. {ECO:0000269|PubMed:25491489}.; DISEASE: Phosphoribosylpyrophosphate synthetase superactivity (PRPS1 superactivity) [MIM:300661]: Familial disorder characterized by excessive purine production, gout and uric acid urolithiasis. {ECO:0000269|PubMed:7593598, ECO:0000269|Ref.12}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Charcot-Marie-Tooth disease, X-linked recessive, 5 (CMTX5) [MIM:311070]: A form of Charcot-Marie-Tooth disease, a disorder of the peripheral nervous system, characterized by progressive weakness and atrophy, initially of the peroneal muscles and later of the distal muscles of the arms. Charcot-Marie-Tooth disease is classified in two main groups on the basis of electrophysiologic properties and histopathology: primary peripheral demyelinating neuropathies characterized by severely reduced motor nerve conduction velocities (NCVs) (less than 38m/s) and segmental demyelination and remyelination, and primary peripheral axonal neuropathies characterized by normal or mildly reduced NCVs and chronic axonal degeneration and regeneration on nerve biopsy. {ECO:0000269|PubMed:17701900}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: ARTS syndrome (ARTS) [MIM:301835]: A disorder characterized by mental retardation, early-onset hypotonia, ataxia, delayed motor development, hearing impairment, and optic atrophy. Susceptibility to infections, especially of the upper respiratory tract, can result in early death. {ECO:0000269|PubMed:17701896}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Deafness, X-linked, 1 (DFNX1) [MIM:304500]: A form of deafness characterized by progressive, severe-to-profound sensorineural hearing loss in males. Females manifest mild to moderate hearing loss. {ECO:0000269|PubMed:20021999}. Note=The disease is caused by mutations affecting the gene represented in this entry.	1187;411536;411543;99014;90625;
P11908	PRPS2		
Q14558	PRPSAP1		
O60256	PRPSAP2		
Q96HE9	PRR11		
Q9NZ81	PRR13		
Q9BWN1	PRR14		
Q569H4	PRR16		
A6NJB7	PRR19		
P86479	PRR20C		
Q6MZM9	PRR27		
P79522	PRR3		
Q9NQS3	NECTIN3,PRR3		
Q16378	PRR4		
Q96NY8	NECTIN4,PRR4	DISEASE: Ectodermal dysplasia-syndactyly syndrome 1 (EDSS1) [MIM:613573]: A form of ectodermal dysplasia, a heterogeneous group of disorders due to abnormal development of two or more ectodermal structures. EDSS1 is characterized by the association of hair and teeth abnormalities with cutaneous syndactyly of the hands and/or feet. Hair morphologic abnormalities include twists at irregular intervals (pilli torti) and swelling along the shafts, particularly associated with areas of breakage. Dental findings consist of abnormally widely spaced teeth, with peg-shaped and conical crowns. Patients have normal sweating. {ECO:0000269|PubMed:20691405}. Note=The disease is caused by mutations affecting the gene represented in this entry.	247820;
P85299	PRR5		
Q6MZQ0	PRR5L		
Q5T870	PRR9		
Q96M27	PRRC1		
P48634	PRRC2A		
Q5JSZ5	PRRC2B		
Q9Y520	PRRC2C		
O14668	PRRG1		
O14669	PRRG2		
Q99946	PRRT1		
Q7Z6L0	PRRT2	DISEASE: Episodic kinesigenic dyskinesia 1 (EKD1) [MIM:128200]: An autosomal dominant neurologic condition characterized by recurrent and brief attacks of abnormal involuntary movements, triggered by sudden voluntary movement. These attacks usually have onset during childhood or early adulthood and can involve dystonic postures, chorea, or athetosis. {ECO:0000269|PubMed:22101681, ECO:0000269|PubMed:22120146, ECO:0000269|PubMed:22131361, ECO:0000269|PubMed:22209761}. Note=The disease is caused by mutations affecting the gene represented in this entry. Disease-causing mutations that produce truncation of the C-terminus of the protein alter subcellular location, from plasma membrane to cytoplasm (PubMed:22101681). {ECO:0000269|PubMed:22101681}.; DISEASE: Convulsions, familial infantile, with paroxysmal choreoathetosis (ICCA) [MIM:602066]: A syndrome characterized by clinical features of benign familial infantile seizures and episodic kinesigenic dyskinesia. Benign familial infantile seizures is a disorder characterized by afebrile seizures occurring during the first year of life, without neurologic sequelae. Paroxysmal choreoathetosis is a disorder of involuntary movements characterized by attacks that occur spontaneously or are induced by a variety of stimuli. {ECO:0000269|PubMed:22243967}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Seizures, benign familial infantile, 2 (BFIS2) [MIM:605751]: A form of benign familial infantile epilepsy, a neurologic disorder characterized by afebrile seizures occurring in clusters during the first year of life, without neurologic sequelae. BFIS2 inheritance is autosomal dominant. {ECO:0000269|PubMed:22243967, ECO:0000269|PubMed:22399141, ECO:0000269|PubMed:22623405}. Note=The disease is caused by mutations affecting the gene represented in this entry.	306;569;31709;98811;98809;98810;
P54821	PRRX1	DISEASE: Agnathia-otocephaly complex (AGOTC) [MIM:202650]: A rare condition characterized by mandibular hypoplasia or agnathia, ventromedial auricular malposition (melotia) and/or auricular fusion (synotia), and microstomia with oroglossal hypoplasia or aglossia. Holoprosencephaly is the most commonly identified association, but skeletal, genitourinary, and cardiovascular anomalies, and situs inversus have been reported. The disorder is almost always lethal. {ECO:0000269|PubMed:21294718}. Note=The disease is caused by mutations affecting the gene represented in this entry.	990;
P07477	PRSS1	DISEASE: Pancreatitis, hereditary (PCTT) [MIM:167800]: A disease characterized by pancreas inflammation, permanent destruction of the pancreatic parenchyma, maldigestion, and severe abdominal pain attacks. {ECO:0000269|PubMed:10204851, ECO:0000269|PubMed:10381903, ECO:0000269|PubMed:10930381, ECO:0000269|PubMed:11073545, ECO:0000269|PubMed:11788572, ECO:0000269|PubMed:11866271, ECO:0000269|PubMed:14695529, ECO:0000269|PubMed:15776435, ECO:0000269|PubMed:8841182, ECO:0000269|PubMed:9322498, ECO:0000269|PubMed:9633818}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.	676;
P56730	PRSS12	DISEASE: Mental retardation, autosomal recessive 1 (MRT1) [MIM:249500]: A disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. Non-syndromic mental retardation patients do not manifest other clinical signs. {ECO:0000269|PubMed:12459588}. Note=The disease is caused by mutations affecting the gene represented in this entry.	88616;
Q9NQE7	PRSS16		
P07478	PRSS2		676;
Q9Y6M0	PRSS21		
Q9GZN4	PRSS22		
O95084	PRSS23		
P35030	PRSS3		
Q5K4E3	PRSS36		
A4D1T9	PRSS37		
Q8NHM4	PRSS3P2		
Q7RTY9	PRSS41		
Q9UI38	PRSS50		
Q2L4Q9	PRSS53		
Q6PEW0	PRSS54		
P0CW18	PRSS56	DISEASE: Microphthalmia, isolated, 6 (MCOP6) [MIM:613517]: A developmental ocular disorder characterized by small malformed eyes. Clinical features are extreme hyperopia due to short axial length with essentially normal anterior segment, steep corneal curvatures, shallow anterior chamber, thick lenses, and thickened scleral wall. Palpebral fissures appear narrow because of relatively deep-set eyes, visual acuity is mildly to moderately reduced, and anisometropic or strabismic amblyopia is common. The fundus of the eye shows crowded optical disks, tortuous vessels, and an abnormal foveal avascular zone. {ECO:0000269|PubMed:21397065, ECO:0000269|PubMed:21532570, ECO:0000269|PubMed:21850159}. Note=The disease is caused by mutations affecting the gene represented in this entry.	2542;
Q6UWY2	PRSS57		
Q16651	PRSS8		
Q9NRG1	PRTFDC1		
P24158	PRTN3		900;
Q86TP1	PRUNE		
Q9BXM0	PRX	DISEASE: Dejerine-Sottas syndrome (DSS) [MIM:145900]: A severe degenerating neuropathy of the demyelinating Charcot-Marie-Tooth disease category, with onset by age 2 years. Characterized by motor and sensory neuropathy with very slow nerve conduction velocities, increased cerebrospinal fluid protein concentrations, hypertrophic nerve changes, delayed age of walking as well as areflexia. There are both autosomal dominant and autosomal recessive forms of Dejerine-Sottas syndrome. {ECO:0000269|PubMed:11133365}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Charcot-Marie-Tooth disease 4F (CMT4F) [MIM:614895]: A recessive demyelinating form of Charcot-Marie-Tooth disease, a disorder of the peripheral nervous system, characterized by progressive weakness and atrophy, initially of the peroneal muscles and later of the distal muscles of the arms. Charcot-Marie-Tooth disease is classified in two main groups on the basis of electrophysiologic properties and histopathology: primary peripheral demyelinating neuropathies (designated CMT1 when they are dominantly inherited) and primary peripheral axonal neuropathies (CMT2). Demyelinating neuropathies are characterized by severely reduced nerve conduction velocities (less than 38 m/sec), segmental demyelination and remyelination with onion bulb formations on nerve biopsy, slowly progressive distal muscle atrophy and weakness, absent deep tendon reflexes, and hollow feet. By convention autosomal recessive forms of demyelinating Charcot-Marie-Tooth disease are designated CMT4. CMT4F is characterized by distal sensory impairment and distal muscle weakness and atrophy affecting the lower more than the upper limbs. The age at onset is variable and can range from childhood to adult years. When the onset is in infancy, the phenotype is characterized as Dejerine-Sottas syndrome. {ECO:0000269|PubMed:22847150}. Note=The disease is caused by mutations affecting the gene represented in this entry.	99952;64748;
P07602	PSAP	DISEASE: Combined saposin deficiency (CSAPD) [MIM:611721]: Due to absence of all saposins, leading to a fatal storage disorder with hepatosplenomegaly and severe neurological involvement. {ECO:0000269|PubMed:11309366, ECO:0000269|PubMed:1371116}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Leukodystrophy metachromatic due to saposin-B deficiency (MLD-SAPB) [MIM:249900]: An atypical form of metachromatic leukodystrophy. It is characterized by tissue accumulation of cerebroside-3-sulfate, demyelination, periventricular white matter abnormalities, peripheral neuropathy. Additional neurological features include dysarthria, ataxic gait, psychomotor regression, seizures, cognitive decline and spastic quadriparesis. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Gaucher disease, atypical, due to saposin C deficiency (AGD) [MIM:610539]: A disease characterized by marked glucosylceramide accumulation in the spleen without having a deficiency of glucosylceramide-beta glucosidase characteristic of classic Gaucher disease. Gaucher disease is a lysosomal storage disorder characterized by skeletal deterioration, hepatosplenomegaly, and organ dysfunction. There are several subtypes based on the presence and severity of neurological involvement. {ECO:0000269|PubMed:17919309, ECO:0000269|PubMed:2060627}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Krabbe disease, atypical, due to saposin A deficiency (AKRD) [MIM:611722]: A disorder of galactosylceramide metabolism. Clinical features include neurologic regression around age 3 months, loss of spontaneous movements, hyporeflexia, generalized brain atrophy, and diffuse white matter dysmyelination. {ECO:0000269|PubMed:15773042}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Note=Defects in PSAP saposin-D region are found in a variant of Tay-Sachs disease (GM2-gangliosidosis).	309252;139406;206436;309271;309263;309256;
Q9NZJ7	MTCH1,PSAP		
Q6NUJ1	PSAPL1		
Q9Y617	PSAT1	DISEASE: Phosphoserine aminotransferase deficiency (PSATD) [MIM:610992]: Characterized biochemically by low plasma and cerebrospinal fluid concentrations of serine and glycine and clinically by intractable seizures, acquired microcephaly, hypertonia, and psychomotor retardation. {ECO:0000269|PubMed:17436247}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Neu-Laxova syndrome 2 (NLS2) [MIM:616038]: A form of Neu-Laxova syndrome, a lethal, autosomal recessive multiple malformation syndrome characterized by ichthyosis, marked intrauterine growth restriction, microcephaly, short neck, limb deformities, hypoplastic lungs, edema, and central nervous system anomalies. These include lissencephaly, cerebellar hypoplasia and/or abnormal/agenesis of the corpus callosum. Abnormal facial features include severe proptosis with ectropion, hypertelorism, micrognathia, flattened nose, and malformed ears. {ECO:0000269|PubMed:25152457}. Note=The disease is caused by mutations affecting the gene represented in this entry.	2671;284417;
O43653	PSCA		
A5PKW4	PSD		
Q8NDX1	PSD4		
P49768	PSEN1	DISEASE: Alzheimer disease 3 (AD3) [MIM:607822]: A familial early-onset form of Alzheimer disease. Alzheimer disease is a neurodegenerative disorder characterized by progressive dementia, loss of cognitive abilities, and deposition of fibrillar amyloid proteins as intraneuronal neurofibrillary tangles, extracellular amyloid plaques and vascular amyloid deposits. The major constituent of these plaques is the neurotoxic amyloid-beta-APP 40-42 peptide (s), derived proteolytically from the transmembrane precursor protein APP by sequential secretase processing. The cytotoxic C-terminal fragments (CTFs) and the caspase-cleaved products such as C31 derived from APP, are also implicated in neuronal death. {ECO:0000269|PubMed:10025789, ECO:0000269|PubMed:10090481, ECO:0000269|PubMed:10200054, ECO:0000269|PubMed:10208579, ECO:0000269|PubMed:10439444, ECO:0000269|PubMed:10441572, ECO:0000269|PubMed:10447269, ECO:0000269|PubMed:10533070, ECO:0000269|PubMed:10631141, ECO:0000269|PubMed:10644793, ECO:0000269|PubMed:11027672, ECO:0000269|PubMed:11524469, ECO:0000269|PubMed:11710891, ECO:0000269|PubMed:11920851, ECO:0000269|PubMed:12048239, ECO:0000269|PubMed:12484344, ECO:0000269|PubMed:12493737, ECO:0000269|PubMed:20460383, ECO:0000269|PubMed:22503161, ECO:0000269|PubMed:26145164, ECO:0000269|PubMed:26549787, ECO:0000269|PubMed:7550356, ECO:0000269|PubMed:7596406, ECO:0000269|PubMed:7651536, ECO:0000269|PubMed:8634711, ECO:0000269|PubMed:8634712, ECO:0000269|PubMed:8733303, ECO:0000269|PubMed:9172170, ECO:0000269|PubMed:9225696, ECO:0000269|PubMed:9298817, ECO:0000269|PubMed:9384602, ECO:0000269|PubMed:9507958, ECO:0000269|PubMed:9521423, ECO:0000269|PubMed:9719376, ECO:0000269|PubMed:9831473, ECO:0000269|PubMed:9833068, ECO:0000269|Ref.79}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Frontotemporal dementia (FTD) [MIM:600274]: A form of dementia characterized by pathologic finding of frontotemporal lobar degeneration, presenile dementia with behavioral changes, deterioration of cognitive capacities and loss of memory. In some cases, parkinsonian symptoms are prominent. Neuropathological changes include frontotemporal atrophy often associated with atrophy of the basal ganglia, substantia nigra, amygdala. In most cases, protein tau deposits are found in glial cells and/or neurons. {ECO:0000269|PubMed:11094121}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, dilated 1U (CMD1U) [MIM:613694]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:17186461}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Acne inversa, familial, 3 (ACNINV3) [MIM:613737]: A chronic relapsing inflammatory disease of the hair follicles characterized by recurrent draining sinuses, painful skin abscesses, and disfiguring scars. Manifestations typically appear after puberty. {ECO:0000269|PubMed:20929727}. Note=The disease is caused by mutations affecting the gene represented in this entry.	275864;1020;154;387;100070;100069;
